"Segment","Area_km2","DU","Year","Attainment"
"All",NA,"Total",1985,26.52642187
"All",NA,"Total",1986,27.16842324
"All",NA,"Total",1987,26.091561
"All",NA,"Total",1988,30.10467226
"All",NA,"Total",1989,26.37696505
"All",NA,"Total",1990,29.32877119
"All",NA,"Total",1991,29.7968994
"All",NA,"Total",1992,31.78802466
"All",NA,"Total",1993,30.77328377
"All",NA,"Total",1994,32.70970223
"All",NA,"Total",1995,36.50398317
"All",NA,"Total",1996,33.87376751
"All",NA,"Total",1997,36.8682444
"All",NA,"Total",1998,33.54424
"All",NA,"Total",1999,36.83514695
"All",NA,"Total",2000,37.15846319
"All",NA,"Total",2001,36.17524761
"All",NA,"Total",2002,35.7181138
"All",NA,"Total",2003,32.71719085
"All",NA,"Total",2004,32.42447979
"All",NA,"Total",2005,33.91226985
"All",NA,"Total",2006,38.52854752
"All",NA,"Total",2007,37.44949236
"All",NA,"Total",2008,39.51038967
"All",NA,"Total",2009,33.18178386
"All",NA,"Total",2010,30.99335608
"All",NA,"Total",2011,27.60977335
"All",NA,"Total",2012,33.94245238
"All",NA,"Total",2013,38.06028736
"All",NA,"Total",2014,40.0086826
"All",NA,"Total",2015,42.16557285
"All",NA,"Total",2016,38.15896342
"All",NA,"Total",2017,32.98496107
"All",NA,"Total",2018,29.57494067
"All",NA,"MSN",1985,64.33869576
"All",NA,"MSN",1986,81.64734527
"All",NA,"MSN",1987,83.62318503
"All",NA,"MSN",1988,87.82206439
"All",NA,"MSN",1989,86.44714484
"All",NA,"MSN",1990,82.44253763
"All",NA,"MSN",1991,75.29759758
"All",NA,"MSN",1992,77.5296383
"All",NA,"MSN",1993,77.94883002
"All",NA,"MSN",1994,76.82296107
"All",NA,"MSN",1995,81.55112723
"All",NA,"MSN",1996,81.55557115
"All",NA,"MSN",1997,82.3547909
"All",NA,"MSN",1998,62.84081645
"All",NA,"MSN",1999,60.81798182
"All",NA,"MSN",2000,56.08981567
"All",NA,"MSN",2001,73.13529208
"All",NA,"MSN",2002,80.26147819
"All",NA,"MSN",2003,80.97360627
"All",NA,"MSN",2004,62.29327995
"All",NA,"MSN",2005,66.44415431
"All",NA,"MSN",2006,61.64640379
"All",NA,"MSN",2007,62.55371085
"All",NA,"MSN",2008,76.72775578
"All",NA,"MSN",2009,65.25056829
"All",NA,"MSN",2010,60.57879924
"All",NA,"MSN",2011,62.09490492
"All",NA,"MSN",2012,59.75436476
"All",NA,"MSN",2013,75.42734907
"All",NA,"MSN",2014,75.85107677
"All",NA,"MSN",2015,74.97434552
"All",NA,"MSN",2016,72.66006199
"All",NA,"MSN",2017,65.27167826
"All",NA,"MSN",2018,49.30124097
"All",NA,"OW",1985,48.72742161
"All",NA,"OW",1986,44.66937348
"All",NA,"OW",1987,39.41795241
"All",NA,"OW",1988,39.82966922
"All",NA,"OW",1989,31.04504227
"All",NA,"OW",1990,42.90964858
"All",NA,"OW",1991,54.04980664
"All",NA,"OW",1992,61.13043895
"All",NA,"OW",1993,57.45908452
"All",NA,"OW",1994,58.22863719
"All",NA,"OW",1995,61.60948585
"All",NA,"OW",1996,59.23217177
"All",NA,"OW",1997,69.19997692
"All",NA,"OW",1998,63.14039504
"All",NA,"OW",1999,71.72330652
"All",NA,"OW",2000,72.62183967
"All",NA,"OW",2001,71.78589873
"All",NA,"OW",2002,63.27519571
"All",NA,"OW",2003,54.06821274
"All",NA,"OW",2004,53.5489113
"All",NA,"OW",2005,53.04498654
"All",NA,"OW",2006,64.93386373
"All",NA,"OW",2007,66.24888198
"All",NA,"OW",2008,56.08465332
"All",NA,"OW",2009,53.15718076
"All",NA,"OW",2010,55.06566684
"All",NA,"OW",2011,44.26363565
"All",NA,"OW",2012,59.46058243
"All",NA,"OW",2013,70.36742596
"All",NA,"OW",2014,69.79663001
"All",NA,"OW",2015,72.06018417
"All",NA,"OW",2016,57.34998699
"All",NA,"OW",2017,62.79130821
"All",NA,"OW",2018,45.20564822
"All",NA,"CHLA",1985,22.73584888
"All",NA,"CHLA",1986,2.142048126
"All",NA,"CHLA",1987,2.142048126
"All",NA,"CHLA",1988,2.142048126
"All",NA,"CHLA",1989,2.142048126
"All",NA,"CHLA",1990,2.142048126
"All",NA,"CHLA",1991,0
"All",NA,"CHLA",1992,0
"All",NA,"CHLA",1993,0
"All",NA,"CHLA",1994,0
"All",NA,"CHLA",1995,0
"All",NA,"CHLA",1996,0
"All",NA,"CHLA",1997,0
"All",NA,"CHLA",1998,0
"All",NA,"CHLA",1999,0
"All",NA,"CHLA",2000,49.04522107
"All",NA,"CHLA",2001,0
"All",NA,"CHLA",2002,22.73584888
"All",NA,"CHLA",2003,2.142048126
"All",NA,"CHLA",2004,2.142048126
"All",NA,"CHLA",2005,2.142048126
"All",NA,"CHLA",2006,2.142048126
"All",NA,"CHLA",2007,2.142048126
"All",NA,"CHLA",2008,2.142048126
"All",NA,"CHLA",2009,0
"All",NA,"CHLA",2010,0
"All",NA,"CHLA",2011,0
"All",NA,"CHLA",2012,2.655659472
"All",NA,"CHLA",2013,2.655659472
"All",NA,"CHLA",2014,2.655659472
"All",NA,"CHLA",2015,23.24946022
"All",NA,"CHLA",2016,23.24946022
"All",NA,"CHLA",2017,14.99783104
"All",NA,"CHLA",2018,2.655659472
"All",NA,"DW",1985,21.93673021
"All",NA,"DW",1986,21.93673021
"All",NA,"DW",1987,21.93673021
"All",NA,"DW",1988,41.63944398
"All",NA,"DW",1989,33.6461707
"All",NA,"DW",1990,33.6461707
"All",NA,"DW",1991,22.92359145
"All",NA,"DW",1992,22.92359145
"All",NA,"DW",1993,22.92359145
"All",NA,"DW",1994,33.6461707
"All",NA,"DW",1995,41.076486
"All",NA,"DW",1996,32.65930946
"All",NA,"DW",1997,32.65930946
"All",NA,"DW",1998,32.65930946
"All",NA,"DW",1999,41.63944398
"All",NA,"DW",2000,40.77364855
"All",NA,"DW",2001,32.78037527
"All",NA,"DW",2002,33.86608899
"All",NA,"DW",2003,24.13037098
"All",NA,"DW",2004,34.85295023
"All",NA,"DW",2005,34.85295023
"All",NA,"DW",2006,39.52410716
"All",NA,"DW",2007,34.85295023
"All",NA,"DW",2008,34.85295023
"All",NA,"DW",2009,24.2514368
"All",NA,"DW",2010,22.92359145
"All",NA,"DW",2011,23.34749471
"All",NA,"DW",2012,38.74123089
"All",NA,"DW",2013,34.19113977
"All",NA,"DW",2014,36.13178298
"All",NA,"DW",2015,36.13178298
"All",NA,"DW",2016,42.40433135
"All",NA,"DW",2017,12.0504246
"All",NA,"DW",2018,33.86608899
"All",NA,"DC",1985,0
"All",NA,"DC",1986,0
"All",NA,"DC",1987,0
"All",NA,"DC",1988,0
"All",NA,"DC",1989,0
"All",NA,"DC",1990,0
"All",NA,"DC",1991,0
"All",NA,"DC",1992,0
"All",NA,"DC",1993,0
"All",NA,"DC",1994,0
"All",NA,"DC",1995,12.5820696
"All",NA,"DC",1996,0
"All",NA,"DC",1997,0
"All",NA,"DC",1998,0
"All",NA,"DC",1999,0
"All",NA,"DC",2000,0
"All",NA,"DC",2001,0
"All",NA,"DC",2002,0
"All",NA,"DC",2003,0
"All",NA,"DC",2004,1.899570245
"All",NA,"DC",2005,1.899570245
"All",NA,"DC",2006,14.48163985
"All",NA,"DC",2007,1.899570245
"All",NA,"DC",2008,14.48163985
"All",NA,"DC",2009,1.899570245
"All",NA,"DC",2010,0
"All",NA,"DC",2011,0
"All",NA,"DC",2012,12.5820696
"All",NA,"DC",2013,0
"All",NA,"DC",2014,12.5820696
"All",NA,"DC",2015,12.5820696
"All",NA,"DC",2016,12.5820696
"All",NA,"DC",2017,0
"All",NA,"DC",2018,0
"All",NA,"SWBG",1985,0.968619849
"All",NA,"SWBG",1986,0.968619849
"All",NA,"SWBG",1987,1.678722869
"All",NA,"SWBG",1988,1.5798156
"All",NA,"SWBG",1989,2.881189344
"All",NA,"SWBG",1990,2.881189344
"All",NA,"SWBG",1991,2.881189344
"All",NA,"SWBG",1992,1.694764074
"All",NA,"SWBG",1993,1.694764074
"All",NA,"SWBG",1994,1.694764074
"All",NA,"SWBG",1995,0.180235004
"All",NA,"SWBG",1996,3.285317578
"All",NA,"SWBG",1997,3.285317578
"All",NA,"SWBG",1998,6.229932068
"All",NA,"SWBG",1999,4.48159943
"All",NA,"SWBG",2000,4.614175871
"All",NA,"SWBG",2001,2.154425553
"All",NA,"SWBG",2002,4.222611737
"All",NA,"SWBG",2003,9.728036101
"All",NA,"SWBG",2004,10.09747218
"All",NA,"SWBG",2005,13.99042
"All",NA,"SWBG",2006,12.49058466
"All",NA,"SWBG",2007,14.62317867
"All",NA,"SWBG",2008,21.15541683
"All",NA,"SWBG",2009,18.32591937
"All",NA,"SWBG",2010,12.32704316
"All",NA,"SWBG",2011,10.56968129
"All",NA,"SWBG",2012,4.065224734
"All",NA,"SWBG",2013,8.158292608
"All",NA,"SWBG",2014,9.359877678
"All",NA,"SWBG",2015,13.83689228
"All",NA,"SWBG",2016,12.90284669
"All",NA,"SWBG",2017,16.00162891
"All",NA,"SWBG",2018,16.00162891
